Feature,Contribution
cell_x_ul_tx_t-2 > 0.18,-0.015187844061965796
-0.10 < ul_total_bytes_non_incr_t-2 <= 0.38,-0.01074473025781417
cell_x_ul_retx <= -0.29,-0.010158426201035967
dl_total_bytes_non_incr_t-1 > 0.47,-0.01000825057979635
dl_bitrate_t-1 > 0.61,0.009940515110791661
cell_x_ul_tx_t-1 > 0.18,-0.009457124310317033
-0.10 < ul_total_bytes_non_incr_t-1 <= 0.38,-0.0092662864953427
-0.62 < dl_bitrate_t-2 <= -0.11,-0.00872344681249779
-0.05 < dl_total_bytes_non_incr <= 0.47,-0.00850502090788964
-0.09 < cell_x_dl_retx_t-2 <= 0.42,0.007683328167879065
0.01 < cell_x_ul_retx_t-1 <= 0.26,-0.007122717792092176
ul_total_bytes_non_incr <= -0.56,-0.006964172948705097
cell_x_dl_tx_t-1 > 0.50,-0.006921940692195392
cell_x_dl_retx_t-1 > 0.42,-0.006715112797106291
-0.11 < ul_bitrate_t-2 <= 0.04,0.00391086424544994
-0.02 < cell_x_dl_tx <= 0.49,-0.0035126269194458303
cell_x_dl_tx_t-2 <= -0.53,-0.002692350176217986
0.01 < cell_x_ul_retx_t-2 <= 0.26,-0.0022448186570728237
cell_x_dl_retx <= -0.46,-0.002112998567192002
-0.11 < ul_bitrate_t-1 <= 0.04,-0.0018567772866958676
cell_x_ul_tx <= -0.25,0.0016202704331467045
ul_bitrate <= -0.39,-0.0014257004624433221
-0.11 < dl_bitrate <= 0.61,0.000542976086200525
-0.56 < dl_total_bytes_non_incr_t-2 <= -0.05,-2.5755207233918017e-05
