Feature,Contribution
ul_total_bytes_non_incr_t-2 > 0.38,0.049273713330820396
dl_bitrate_t-2 <= -0.62,0.01923547392165884
ul_bitrate_t-1 > 0.04,0.011436677490774066
ul_total_bytes_non_incr > 0.38,0.010876439525412805
-0.05 < dl_total_bytes_non_incr_t-1 <= 0.47,-0.008560820202159813
-0.05 < dl_total_bytes_non_incr_t-2 <= 0.47,0.007270706455911036
cell_x_dl_tx > 0.49,0.006271255178784709
ul_bitrate > 0.04,-0.005517314409219059
ul_total_bytes_non_incr_t-1 > 0.38,0.005421811741899119
cell_x_ul_retx_t-1 > 0.26,0.005152899610095689
dl_bitrate <= -0.62,-0.005046569212902698
cell_x_dl_tx_t-2 > 0.50,0.004538617874559074
cell_x_ul_tx_t-2 > 0.18,0.0043262454843742025
cell_x_dl_retx_t-2 <= -0.46,-0.003941290891256949
-0.05 < dl_total_bytes_non_incr <= 0.47,0.003882353771092837
cell_x_ul_tx_t-1 > 0.18,0.0020586093506215638
cell_x_ul_retx > 0.26,0.0020335042572042043
cell_x_dl_retx <= -0.46,-0.0019853735712349074
cell_x_ul_retx_t-2 > 0.26,0.0018146545628508867
cell_x_ul_tx > 0.18,-0.001794151251021362
cell_x_dl_tx_t-1 > 0.50,-0.0012565257581795479
dl_bitrate_t-1 <= -0.62,-0.0007836549147757797
ul_bitrate_t-2 > 0.04,-0.0007631358490995471
cell_x_dl_retx_t-1 <= -0.46,-0.0006276905406028621
