Feature,Contribution
-0.62 < dl_bitrate_t-1 <= -0.11,-0.01854786625774095
cell_x_ul_tx_t-2 <= -0.25,0.012093677341216247
cell_x_dl_tx_t-2 <= -0.53,0.011791271781377045
ul_bitrate_t-1 > 0.04,0.01126908282509816
dl_bitrate_t-2 <= -0.62,0.010265550427268842
ul_total_bytes_non_incr_t-1 > 0.38,0.009854433706990243
cell_x_ul_retx_t-1 > 0.26,0.009417481434836063
cell_x_dl_retx <= -0.46,-0.008777346221088174
cell_x_ul_tx_t-1 > 0.18,0.007598315574770821
ul_total_bytes_non_incr > 0.38,0.005623269160703101
-0.56 < ul_total_bytes_non_incr_t-2 <= -0.10,-0.005099959880928091
-0.53 < cell_x_dl_tx_t-1 <= -0.02,-0.005059019724901859
-0.62 < dl_bitrate <= -0.11,-0.004628629678709943
-0.56 < dl_total_bytes_non_incr_t-1 <= -0.05,0.0044589126390837406
-0.56 < dl_total_bytes_non_incr <= -0.05,-0.0025884290292963012
cell_x_ul_tx > 0.18,0.0023951510159300068
dl_total_bytes_non_incr_t-2 <= -0.56,-0.002236335291027691
ul_bitrate > 0.04,-0.0020982316052822777
cell_x_ul_retx_t-2 <= -0.29,-0.001755098900633648
cell_x_dl_retx_t-1 <= -0.46,-0.0013291805359640487
-0.39 < ul_bitrate_t-2 <= -0.11,0.0012964533266175396
cell_x_dl_retx_t-2 <= -0.46,-0.0011879454745184934
-0.53 < cell_x_dl_tx <= -0.02,-0.0011134279770087484
cell_x_ul_retx > 0.26,-0.0010078744694799807
