Feature,Contribution
ul_total_bytes_non_incr_t-2 > 0.38,0.05855211571226258
dl_bitrate_t-2 <= -0.62,0.026095826156095212
cell_x_ul_retx_t-1 > 0.26,0.011009157240435252
cell_x_ul_retx > 0.26,0.008186601941831904
dl_bitrate_t-1 <= -0.62,0.006784282359179172
ul_bitrate > 0.04,-0.006109515067587848
-0.05 < dl_total_bytes_non_incr_t-2 <= 0.47,0.005744391035456683
ul_total_bytes_non_incr_t-1 > 0.38,0.005633564208649367
ul_bitrate_t-1 > 0.04,0.005478645097470597
-0.05 < dl_total_bytes_non_incr <= 0.47,0.005240312296007795
cell_x_ul_tx_t-2 > 0.18,-0.004647168037632526
cell_x_ul_tx_t-1 > 0.18,0.004540265038656878
-0.05 < dl_total_bytes_non_incr_t-1 <= 0.47,-0.004524515432667774
dl_bitrate <= -0.62,0.004164837572327352
cell_x_dl_tx_t-1 > 0.50,-0.003168319432512885
cell_x_ul_tx > 0.18,0.0028945686101972674
cell_x_dl_retx_t-1 <= -0.46,-0.0025211688278661383
cell_x_dl_retx <= -0.46,-0.002301044344882864
ul_total_bytes_non_incr > 0.38,-0.0020577294070889284
cell_x_ul_retx_t-2 > 0.26,-0.0015370226702640956
cell_x_dl_retx_t-2 <= -0.46,0.0013446819742556526
cell_x_dl_tx_t-2 > 0.50,-0.0011550134939041557
ul_bitrate_t-2 > 0.04,-0.0005715587249420092
cell_x_dl_tx > 0.49,0.00046599278939358173
