Feature,Contribution
-0.10 < ul_total_bytes_non_incr_t-2 <= 0.38,-0.020448773210107976
cell_x_ul_retx_t-1 <= -0.29,-0.012949168034445109
-0.46 < cell_x_dl_retx_t-1 <= -0.09,0.0122523232665482
-0.46 < cell_x_dl_retx <= -0.09,0.011309869295621068
-0.10 < ul_total_bytes_non_incr <= 0.38,0.009725534685119787
cell_x_ul_tx <= -0.25,-0.009231786499563433
cell_x_ul_retx <= -0.29,0.008377922853181865
-0.46 < cell_x_dl_retx_t-2 <= -0.09,-0.007479521466093868
cell_x_ul_retx_t-2 <= -0.29,-0.007321455821692943
-0.56 < dl_total_bytes_non_incr_t-1 <= -0.05,0.006952286292599909
cell_x_ul_tx_t-2 <= -0.25,0.005698478671081402
-0.11 < dl_bitrate_t-1 <= 0.61,0.005578098519113996
cell_x_ul_tx_t-1 <= -0.25,0.004531997974929326
-0.39 < ul_bitrate_t-1 <= -0.11,-0.004338302008544765
-0.11 < dl_bitrate <= 0.61,-0.0033178125334686363
-0.56 < dl_total_bytes_non_incr <= -0.05,-0.0030973708499253847
-0.53 < cell_x_dl_tx <= -0.02,-0.0029414076753427614
-0.11 < dl_bitrate_t-2 <= 0.61,0.0029370392443490794
-0.10 < ul_total_bytes_non_incr_t-1 <= 0.38,0.002382476914344026
-0.39 < ul_bitrate_t-2 <= -0.11,0.0019469804244159675
-0.56 < dl_total_bytes_non_incr_t-2 <= -0.05,-0.0016016689930525108
-0.39 < ul_bitrate <= -0.11,-0.0013923121732272838
-0.53 < cell_x_dl_tx_t-2 <= -0.02,-0.0013235232791679124
-0.53 < cell_x_dl_tx_t-1 <= -0.02,-0.0011065767665635207
