Feature,Contribution
ul_total_bytes_non_incr > 0.49,0.03998654707999216
dl_total_bytes_non_incr_t-1 > 0.16,0.029979830986690045
-0.31 < cell_x_dl_retx <= 0.32,-0.026856991613935118
dl_bitrate_t-1 > 0.33,0.02560634868905243
dl_total_bytes_non_incr > 0.21,0.02499447032361926
-1.60 < dl_bitrate_t-2 <= -0.38,-0.024142184908848143
-0.59 < ul_bitrate_t-1 <= -0.14,-0.022125113789112295
-0.37 < dl_bitrate <= 0.33,-0.021911706054985946
-0.27 < cell_x_dl_tx <= 0.48,-0.019838905246053487
-0.11 < ul_bitrate <= 0.67,-0.019694653846221762
cell_x_dl_tx_t-1 > 0.37,0.019257379815888036
-0.83 < cell_x_ul_tx_t-2 <= -0.02,-0.018069555582762586
-0.62 < cell_x_dl_retx_t-2 <= -0.30,-0.01757786959185677
-1.13 < cell_x_ul_retx <= -0.12,-0.014471612803004635
ul_bitrate_t-2 <= -0.53,-0.013198539929287904
-2.13 < cell_x_dl_tx_t-2 <= -0.27,-0.013070204514434847
-0.36 < cell_x_dl_retx_t-1 <= 0.29,-0.012910237208163816
-0.31 < ul_total_bytes_non_incr_t-1 <= 0.52,-0.012412563151602133
-1.16 < cell_x_ul_tx <= -0.04,-0.01022738809456618
-0.12 < dl_total_bytes_non_incr_t-2 <= 0.19,-0.010011737796888142
-0.87 < ul_total_bytes_non_incr_t-2 <= -0.30,-0.008941792761305738
-0.88 < cell_x_ul_retx_t-2 <= -0.08,-0.0033564019154778482
-1.27 < cell_x_ul_tx_t-1 <= -0.06,0.0021539183334278044
-1.27 < cell_x_ul_retx_t-1 <= -0.16,-0.00160927878390411
