Feature,Contribution
dl_total_bytes_non_incr > 0.21,0.03705271017104155
dl_total_bytes_non_incr_t-2 > 0.19,0.03632313262730427
-0.27 < cell_x_dl_tx <= 0.48,-0.028510801303123612
dl_bitrate_t-2 > 0.41,0.027623573108003067
-0.30 < cell_x_dl_retx_t-2 <= 0.36,-0.026207497065726983
dl_bitrate > 0.33,0.02531702183885341
-0.27 < cell_x_dl_tx_t-2 <= 0.53,-0.022774201743204957
-0.53 < ul_bitrate_t-2 <= -0.10,-0.019840935212898484
-0.63 < cell_x_dl_retx_t-1 <= -0.36,-0.018297842963540742
-0.30 < ul_total_bytes_non_incr_t-2 <= 0.69,-0.017662736647693977
-0.31 < cell_x_dl_retx <= 0.32,-0.016045787542420302
-2.20 < cell_x_dl_tx_t-1 <= -0.33,-0.01203890624322859
-1.60 < dl_bitrate_t-1 <= -0.37,-0.01151342319644795
-0.88 < cell_x_ul_retx_t-2 <= -0.08,-0.011229697448750119
-0.06 < cell_x_ul_tx_t-1 <= 0.19,-0.01068161517681431
-0.04 < cell_x_ul_tx <= 0.18,-0.010125195188833879
-0.58 < ul_bitrate <= -0.11,-0.009772054143828432
-0.02 < cell_x_ul_tx_t-2 <= 0.20,-0.009733971795284884
-0.31 < ul_total_bytes_non_incr_t-1 <= 0.52,-0.009654719040500272
-0.14 < ul_bitrate_t-1 <= 0.42,-0.009154262456292429
-1.05 < dl_total_bytes_non_incr_t-1 <= -0.12,-0.008579696409216306
-1.13 < cell_x_ul_retx <= -0.12,-0.008037158432518515
-0.16 < cell_x_ul_retx_t-1 <= 0.26,-0.004645802540990305
-0.31 < ul_total_bytes_non_incr <= 0.49,-0.0038104086444906617
