Feature,Contribution
ul_bitrate_t-2 > 1.03,0.053024030645179854
ul_bitrate_t-1 > 0.42,0.04468163274954732
ul_total_bytes_non_incr_t-2 > 0.69,0.04152966659699731
dl_total_bytes_non_incr_t-2 > 0.19,0.03895397537885666
cell_x_dl_retx_t-2 > 0.36,0.03839399663763204
cell_x_dl_tx_t-1 > 0.37,0.03547139872240461
cell_x_dl_tx_t-2 > 0.53,0.03525097318307325
-0.31 < cell_x_dl_retx <= 0.32,-0.03290643392639645
-0.11 < ul_bitrate <= 0.67,-0.02893155095076012
cell_x_dl_retx_t-1 > 0.29,0.02718772780719233
dl_bitrate_t-2 > 0.41,0.02530950296374041
dl_bitrate_t-1 > 0.33,0.024896121212382626
-1.05 < dl_total_bytes_non_incr_t-1 <= -0.12,-0.017779920688104665
-0.27 < cell_x_dl_tx <= 0.48,-0.014823914383543703
-0.37 < dl_bitrate <= 0.33,-0.013968751360185666
-0.12 < cell_x_ul_retx <= 0.23,-0.010797174408929968
-1.05 < dl_total_bytes_non_incr <= -0.12,-0.009184235354049507
cell_x_ul_retx_t-2 > 0.33,-0.007092648215092265
-0.31 < ul_total_bytes_non_incr_t-1 <= 0.52,-0.006776172276037879
cell_x_ul_retx_t-1 > 0.26,-0.005451217684745976
cell_x_ul_tx_t-1 > 0.19,-0.005213334572244575
cell_x_ul_tx_t-2 > 0.20,-0.0021075549440605344
-0.31 < ul_total_bytes_non_incr <= 0.49,0.0008255727655167497
cell_x_ul_tx > 0.18,-0.0005575639729425179
