Feature,Contribution
-2.20 < cell_x_dl_tx_t-1 <= -0.33,-0.029920882052203522
-2.19 < cell_x_dl_tx <= -0.27,-0.027499100937528102
-1.05 < dl_total_bytes_non_incr_t-1 <= -0.12,-0.022740987742870523
-1.60 < dl_bitrate <= -0.37,-0.022285045201345846
-0.30 < ul_total_bytes_non_incr_t-2 <= 0.69,-0.02154686906723178
-0.11 < ul_bitrate <= 0.67,-0.021450202174383554
-0.10 < ul_bitrate_t-2 <= 1.03,-0.021200489700841457
-0.63 < cell_x_dl_retx_t-1 <= -0.36,-0.020992449144023272
-2.13 < cell_x_dl_tx_t-2 <= -0.27,-0.019012835463804414
-0.62 < cell_x_dl_retx_t-2 <= -0.30,-0.01839628580343906
-0.14 < ul_bitrate_t-1 <= 0.42,-0.01796364901798502
-1.05 < dl_total_bytes_non_incr <= -0.12,-0.01693561159011554
-0.31 < ul_total_bytes_non_incr_t-1 <= 0.52,-0.01483783450775511
cell_x_ul_tx_t-1 > 0.19,-0.014186450125847551
-0.63 < cell_x_dl_retx <= -0.31,-0.013761636126665162
-1.60 < dl_bitrate_t-2 <= -0.38,-0.013167969843081172
-0.31 < ul_total_bytes_non_incr <= 0.49,-0.013129989536586348
-1.05 < dl_total_bytes_non_incr_t-2 <= -0.12,-0.009081022057666959
cell_x_ul_tx > 0.18,-0.008098384011598026
-1.60 < dl_bitrate_t-1 <= -0.37,-0.007886862804073637
cell_x_ul_tx_t-2 > 0.20,-0.007138892507391363
cell_x_ul_retx_t-2 > 0.33,0.006287607862339576
cell_x_ul_retx_t-1 > 0.26,0.005150334055993319
cell_x_ul_retx > 0.23,0.004007583410011319
