Feature,Contribution
cell_x_ul_tx_t-1 <= -1.27,0.032303762084107894
cell_x_ul_retx <= -1.13,0.02661897821713577
-0.59 < ul_bitrate_t-1 <= -0.14,-0.02347061062193014
-0.12 < dl_total_bytes_non_incr_t-1 <= 0.16,-0.023457477611663457
-0.12 < dl_total_bytes_non_incr_t-2 <= 0.19,-0.021308412906676642
-0.12 < dl_total_bytes_non_incr <= 0.21,-0.020432771996919695
cell_x_ul_retx_t-1 <= -1.27,0.020383102885747746
-0.87 < ul_total_bytes_non_incr_t-2 <= -0.30,-0.016584157434162843
cell_x_ul_tx_t-2 <= -0.83,0.015276666200641435
cell_x_dl_retx_t-2 <= -0.62,-0.014781182112803914
cell_x_ul_tx <= -1.16,0.014629510324672605
cell_x_dl_tx <= -2.19,0.012134849756387038
ul_bitrate_t-2 <= -0.53,-0.011497147091551205
-0.87 < ul_total_bytes_non_incr_t-1 <= -0.31,-0.010392753782719432
cell_x_dl_tx_t-1 <= -2.20,0.009876711978206708
dl_bitrate_t-2 <= -1.60,0.006902255805889382
cell_x_dl_retx <= -0.63,0.0067342457048443615
cell_x_dl_tx_t-2 <= -2.13,0.0055487513007426645
cell_x_dl_retx_t-1 <= -0.63,-0.003375933732742391
dl_bitrate <= -1.60,0.0033078347932132494
-0.58 < ul_bitrate <= -0.11,-0.0018658341136306444
-0.87 < ul_total_bytes_non_incr <= -0.31,-0.001169497506414063
dl_bitrate_t-1 <= -1.60,0.00023278810764566478
cell_x_ul_retx_t-2 <= -0.88,-4.448751510580921e-05
