Feature,Contribution
dl_bitrate > 0.26,0.20399844426307748
-0.25 < cell_x_dl_tx <= 0.46,-0.16652575582075704
-0.50 < ul_bitrate <= -0.15,-0.14938545346785967
-0.87 < ul_total_bytes_non_incr <= -0.31,-0.08502310943797574
-0.12 < dl_total_bytes_non_incr <= 0.05,-0.08191670360254988
cell_x_dl_retx <= -0.63,0.012656153083527352
-1.56 < cell_x_ul_tx <= -0.13,0.00642746688303683
-1.46 < cell_x_ul_retx <= -0.21,0.0023415382669911503
